OFICINA,CLIENTE,RUTA_FLETE,ESTADO,NOMBRE_ESTADO,MUNICIPIO,NOMBRE_MUNIC
'C','50223',12,19,'SUCRE',14,
'C','50224',12,19,'SUCRE',14,
'C','50225',14,19,'SUCRE',12,'MONTES'
'C','50226',12,19,'SUCRE',14,
'C','50227',12,19,'SUCRE',14,
'C','50228',12,19,'SUCRE',15,'SUCRE'
'C','50230',12,19,'SUCRE',15,'SUCRE'
'C','50231',12,19,'SUCRE',15,'SUCRE'
'C','50232',12,19,'SUCRE',15,'SUCRE'
'C','50233',12,19,'SUCRE',15,'SUCRE'
'C','50234',12,19,'SUCRE',15,'SUCRE'
'C','50235',12,19,'SUCRE',15,'SUCRE'
'C','50236',12,19,'SUCRE',15,'SUCRE'
'C','50237',12,19,'SUCRE',15,'SUCRE'
'C','50238',12,19,'SUCRE',15,'SUCRE'
'C','50239',12,19,'SUCRE',15,'SUCRE'
'C','50240',12,19,'SUCRE',15,'SUCRE'
'C','50241',12,19,'SUCRE',15,'SUCRE'
'C','50242',12,19,'SUCRE',15,'SUCRE'
'C','50243',12,19,'SUCRE',15,'SUCRE'
'C','50244',12,19,'SUCRE',15,'SUCRE'
'C','50245',12,19,'SUCRE',15,'SUCRE'
'C','50246',12,19,'SUCRE',15,'SUCRE'
'C','50249',12,19,'SUCRE',14,
'C','50250',12,19,'SUCRE',15,'SUCRE'
'C','50251',12,19,'SUCRE',15,'SUCRE'
'C','50252',12,19,'SUCRE',15,'SUCRE'
'C','50253',12,19,'SUCRE',15,'SUCRE'
'C','50254',12,19,'SUCRE',15,'SUCRE'
'C','50255',12,19,'SUCRE',15,'SUCRE'
'C','50256',12,19,'SUCRE',14,
'C','50257',12,19,'SUCRE',15,'SUCRE'
'C','50258',12,19,'SUCRE',15,'SUCRE'
'C','50259',12,19,'SUCRE',15,'SUCRE'
'C','50260',12,19,'SUCRE',15,'SUCRE'
'C','50261',12,19,'SUCRE',15,'SUCRE'
'C','50263',12,19,'SUCRE',15,'SUCRE'
'C','50264',12,19,'SUCRE',15,'SUCRE'
'C','50265',12,19,'SUCRE',15,'SUCRE'
'C','50266',12,19,'SUCRE',15,'SUCRE'
'C','50267',12,19,'SUCRE',15,'SUCRE'
'C','50269',12,19,'SUCRE',15,'SUCRE'
'C','50270',12,19,'SUCRE',15,'SUCRE'
'C','50271',12,19,'SUCRE',15,'SUCRE'
'C','50273',12,19,'SUCRE',15,'SUCRE'
'C','50274',12,19,'SUCRE',15,'SUCRE'
'C','50276',12,19,'SUCRE',15,'SUCRE'
'C','50277',12,19,'SUCRE',14,
'C','50278',12,19,'SUCRE',15,'SUCRE'
'C','50279',12,19,'SUCRE',15,'SUCRE'
'C','50280',12,19,'SUCRE',14,
'C','50281',12,19,'SUCRE',15,'SUCRE'
'C','50282',12,19,'SUCRE',15,'SUCRE'
'C','50283',12,19,'SUCRE',15,'SUCRE'
'C','50285',12,19,'SUCRE',15,'SUCRE'
'C','50286',12,19,'SUCRE',15,'SUCRE'
