sucursal,codigo,uc,p1,p2,p3,m1,m2,m3
C,0132050,262.85,455.98,455.98,445.50,42.35,42.35,41.00
C,0132065,353.19,540.42,540.42,528.00,34.65,34.65,33.11
C,0132070,231.86,557.30,557.30,544.49,58.40,58.40,57.42
C,0132075,353.20,540.42,540.42,528.00,34.64,34.64,33.11
C,0132080,358.40,557.30,557.30,544.49,35.69,35.69,34.18
C,0132085,399.76,540.42,540.42,528.00,26.03,26.03,24.29
C,0132090,280.08,557.30,557.30,544.49,49.74,49.74,48.56
C,0132095,264.56,540.42,540.42,528.00,51.05,51.05,49.89
C,0132100,358.39,558.84,558.84,546.00,35.87,35.87,34.36
C,0132105,0.00,540.42,540.42,528.00,100.00,100.00,100.00
C,0132110,0.00,557.30,557.30,544.49,100.00,100.00,100.00
C,0132115,0.00,557.30,557.30,528.00,100.00,100.00,100.00
C,0132120,325.16,557.30,557.30,544.49,41.65,41.65,40.28
C,0134005,63.72,179.15,179.15,175.03,64.43,64.43,63.59
C,0134010,63.90,179.15,179.15,175.03,64.33,64.33,63.49
C,0134015,151.60,179.15,179.15,175.03,15.38,15.38,13.39
C,0134020,151.52,179.15,179.15,175.03,15.42,15.42,13.43
C,0134025,151.52,179.15,179.15,175.03,15.42,15.42,13.43
C,0134030,0.00,214.30,214.30,209.37,100.00,100.00,100.00
C,0134035,0.00,214.30,214.30,209.37,100.00,100.00,100.00
C,0134040,0.00,214.30,214.30,209.37,100.00,100.00,100.00
C,0134045,0.00,214.30,214.30,209.37,100.00,100.00,100.00
C,0134050,0.00,243.00,243.00,243.00,100.00,100.00,100.00
C,0134055,0.00,304.23,304.23,297.24,100.00,100.00,100.00
C,0134060,93.87,304.23,304.23,297.24,69.15,69.15,68.42
C,0134065,110.36,304.23,304.23,297.24,63.72,63.72,62.87
C,0134070,93.92,304.23,304.23,297.24,69.13,69.13,68.40
C,0134075,0.00,304.23,304.23,297.24,100.00,100.00,100.00
C,0134105,77.68,214.30,214.30,209.37,63.75,63.75,62.90
C,0134110,77.61,214.30,214.30,209.37,63.78,63.78,62.93
C,0134115,77.64,214.30,214.30,209.37,63.77,63.77,62.92
C,0134120,77.58,214.30,214.30,209.37,63.80,63.80,62.95
C,0134125,77.58,214.30,214.30,209.37,63.80,63.80,62.95
C,0134130,0.00,140.26,140.26,140.26,100.00,100.00,100.00
C,0134150,110.02,304.23,304.23,297.24,63.84,63.84,62.99
C,0134155,110.12,304.23,304.23,297.24,63.80,63.80,62.95
C,0134160,110.04,304.23,304.23,297.24,63.83,63.83,62.98
C,0134165,0.00,304.23,304.23,297.24,100.00,100.00,100.00
C,0134170,0.00,304.23,304.23,297.24,100.00,100.00,100.00
C,0134175,0.00,160.78,160.78,160.78,100.00,100.00,100.00
C,0134205,101.82,245.64,245.64,240.00,58.55,58.55,57.58
C,0134210,107.20,245.64,245.64,240.00,56.36,56.36,55.33
C,0134215,177.81,245.64,245.64,240.00,27.61,27.61,25.91
C,0134220,101.80,245.64,245.64,240.00,58.56,58.56,57.58
C,0134225,107.22,245.64,245.64,240.00,56.35,56.35,55.33
C,0134230,0.00,245.64,245.64,240.00,100.00,100.00,100.00
C,0134235,0.00,245.64,245.64,240.00,100.00,100.00,100.00
C,0134305,346.67,417.60,417.60,408.00,16.99,16.99,15.03
C,0134310,536.71,634.58,634.58,620.00,15.42,15.42,13.43
C,0134505,152.63,489.76,489.76,478.50,68.84,68.84,68.10
C,0134510,414.22,489.76,489.76,478.50,15.42,15.42,13.43
C,0134515,152.58,489.76,489.76,478.50,68.85,68.85,68.11
C,0134520,414.21,489.76,489.76,478.50,15.43,15.43,13.44
C,0134525,414.22,489.76,489.76,478.50,15.42,15.42,13.43
C,0135005,82.04,245.64,245.64,240.00,66.60,66.60,65.82
C,0135010,82.74,245.64,245.64,240.00,66.32,66.32,65.53
C,0135015,82.76,245.64,245.64,240.00,66.31,66.31,65.52
C,0135020,81.98,245.64,245.64,240.00,66.63,66.63,65.84
C,0135050,181.26,214.30,214.30,209.37,15.42,15.42,13.43
C,0135055,71.93,214.30,214.30,209.37,66.43,66.43,65.64
C,0135060,77.59,214.30,214.30,209.37,63.79,63.79,62.94
C,0135065,71.54,214.30,214.30,209.37,66.62,66.62,65.83
C,0135505,228.55,270.21,270.21,264.00,15.42,15.42,13.43
C,0135510,249.34,405.31,405.31,396.00,38.48,38.48,37.04
C,0135515,275.28,388.43,388.43,379.50,29.13,29.13,27.46
C,0135520,187.48,523.55,523.55,512.00,64.19,64.19,63.38
C,0135525,251.91,356.18,356.18,348.00,29.27,29.27,27.61
C,0135530,120.08,489.76,489.76,478.50,75.48,75.48,74.90
C,0136005,211.20,439.09,439.09,429.00,51.90,51.90,50.77
C,0136010,238.92,489.76,489.76,478.50,51.22,51.22,50.07
C,0136505,161.04,270.21,270.21,264.00,40.40,40.40,39.00
C,0136510,137.16,193.44,193.44,189.00,29.09,29.09,27.43
C,0136515,138.16,270.21,270.21,264.00,48.87,48.87,47.67
C,0136520,114.28,193.44,193.44,189.00,40.92,40.92,39.53
C,0136525,212.96,270.21,270.21,264.00,21.19,21.19,19.33
C,0136530,137.12,193.44,193.44,189.00,29.11,29.11,27.45
C,0140505,671.99,934.00,934.00,934.00,28.05,28.05,28.05
C,0140510,1400.00,1945.00,1945.00,1945.00,28.02,28.02,28.02
C,0140515,648.00,2000.00,2000.00,2000.00,67.60,67.60,67.60
C,0140520,3000.00,4167.00,4167.00,4167.00,28.01,28.01,28.01
C,0141005,840.02,1168.00,1168.00,1168.00,28.08,28.08,28.08
C,0141010,1249.64,2431.00,2431.00,2431.00,48.60,48.60,48.60
C,0141505,875.15,2917.00,2917.00,2917.00,70.00,70.00,70.00
C,0141510,780.00,2168.00,2168.00,2168.00,64.02,64.02,64.02
C,0150505,81.31,140.84,140.84,140.84,42.27,42.27,42.27
C,0150510,235.08,345.38,345.38,345.38,31.94,31.94,31.94
C,0160505,116.49,155.31,155.31,155.31,25.00,25.00,25.00
C,0160510,116.48,155.31,155.31,155.31,25.00,25.00,25.00
C,0160515,116.98,155.31,155.31,155.31,24.68,24.68,24.68
C,0160520,67.45,155.31,155.31,155.31,56.57,56.57,56.57
C,0160525,116.48,155.31,155.31,155.31,25.00,25.00,25.00
C,0160530,116.50,155.31,155.31,155.31,24.99,24.99,24.99
C,0161005,0.00,203.75,203.75,203.75,100.00,100.00,100.00
C,0161010,122.12,203.75,203.75,203.75,40.06,40.06,40.06
C,0161015,119.93,204.00,204.00,204.00,41.21,41.21,41.21
C,0161020,122.12,204.00,204.00,203.75,40.14,40.14,40.06
C,0161025,7.86,204.00,204.00,204.00,96.15,96.15,96.15
C,0161030,122.12,204.00,204.00,204.00,40.14,40.14,40.14
C,0161505,121.87,162.50,162.50,162.50,25.00,25.00,25.00
C,0161510,121.87,162.50,162.50,162.50,25.00,25.00,25.00
C,0161515,121.88,162.50,162.50,162.50,25.00,25.00,25.00
C,0161520,121.88,162.50,162.50,162.50,25.00,25.00,25.00
C,0161525,121.87,162.50,162.50,162.50,25.00,25.00,25.00
C,0161530,85.96,162.50,162.50,162.50,47.10,47.10,47.10
C,0162005,0.00,99.19,99.19,99.19,100.00,100.00,100.00
C,0162010,0.00,99.19,99.19,99.19,100.00,100.00,100.00
C,0162015,0.00,99.19,99.19,99.19,100.00,100.00,100.00
C,0162020,0.00,99.19,99.19,99.19,100.00,100.00,100.00
C,0162025,0.00,99.19,99.19,99.19,100.00,100.00,100.00
C,0162505,0.00,260.82,260.82,260.82,100.00,100.00,100.00
C,0162510,195.63,260.82,260.82,260.82,24.99,24.99,24.99
C,0162515,70.44,260.82,260.82,260.82,72.99,72.99,72.99
C,0162520,195.79,260.82,260.82,260.82,24.93,24.93,24.93
C,0162525,195.64,260.82,260.82,260.82,24.99,24.99,24.99
C,0162530,115.28,260.82,260.82,260.82,55.80,55.80,55.80
C,0162535,195.64,260.82,260.82,260.82,24.99,24.99,24.99
C,0163005,61.44,123.94,123.94,123.94,50.43,50.43,50.43
C,0163010,0.00,32.18,32.18,32.18,100.00,100.00,100.00
C,0163015,36.36,48.80,48.80,48.80,25.49,25.49,25.49
C,0163020,51.60,68.80,68.80,68.80,25.00,25.00,25.00
C,0163025,126.66,255.28,255.28,255.28,50.38,50.38,50.38
C,0163505,123.87,265.05,265.05,265.05,53.27,53.27,53.27
C,0163510,102.00,156.27,156.27,156.27,34.73,34.73,34.73
C,0164005,0.00,248.32,248.32,248.32,100.00,100.00,100.00
C,0164010,0.00,248.32,248.32,248.32,100.00,100.00,100.00
C,0169998,14.82,16.60,16.60,16.60,10.72,10.72,10.72
C,0169999,235.71,264.00,264.00,264.00,10.72,10.72,10.72
C,0170510,382.62,396.87,396.87,396.87,3.59,3.59,3.59
C,0170515,361.41,374.87,374.87,374.87,3.59,3.59,3.59
C,0170516,475.24,1905.00,1905.00,1905.00,75.05,75.05,75.05
C,0170517,708.70,969.00,969.00,969.00,26.86,26.86,26.86
C,0170518,2223.60,2750.00,2750.00,2750.00,19.14,19.14,19.14
C,0170519,910.80,1469.00,1469.00,1469.00,38.00,38.00,38.00
C,0170520,1161.60,1802.00,1802.00,1802.00,35.54,35.54,35.54
C,0170525,537.34,2267.00,2267.00,2267.00,76.30,76.30,76.30
C,0170550,436.41,794.00,794.00,794.00,45.04,45.04,45.04
C,0170555,540.00,1020.00,1020.00,1020.00,47.06,47.06,47.06
C,0170560,0.00,2647.00,2647.00,2647.00,100.00,100.00,100.00
C,0170565,364.32,451.00,451.00,451.00,19.22,19.22,19.22
C,0170570,525.00,627.00,627.00,627.00,16.27,16.27,16.27
C,0170580,0.00,451.00,451.00,451.00,100.00,100.00,100.00
C,0170585,0.00,627.00,627.00,627.00,100.00,100.00,100.00
C,0180500,197.09,367.50,367.50,367.50,46.37,46.37,46.37
C,0180505,301.00,688.36,688.36,688.36,56.27,56.27,56.27
C,0190505,1083.12,1444.00,1444.00,1444.00,24.99,24.99,24.99
C,0190510,1083.12,1444.00,1444.00,1444.00,24.99,24.99,24.99
C,0190515,1018.56,1358.00,1358.00,1358.00,25.00,25.00,25.00
C,0190520,1192.30,1590.00,1590.00,1590.00,25.01,25.01,25.01
C,0190525,1192.32,1590.00,1590.00,1590.00,25.01,25.01,25.01
C,0200505,0.00,17.00,17.00,17.00,100.00,100.00,100.00
C,0200510,0.00,765.00,765.00,765.00,100.00,100.00,100.00
C,0200515,0.00,1067.00,1067.00,1067.00,100.00,100.00,100.00
C,0200517,298.18,1346.00,1346.00,1346.00,77.85,77.85,77.85
C,0200520,0.00,18.00,18.00,18.00,100.00,100.00,100.00
C,0200525,0.00,808.00,808.00,808.00,100.00,100.00,100.00
C,0200530,0.00,926.00,926.00,926.00,100.00,100.00,100.00
C,0200535,0.00,880.00,880.00,880.00,100.00,100.00,100.00
C,0200545,0.00,768.00,768.00,768.00,100.00,100.00,100.00
C,0200550,0.00,658.00,658.00,658.00,100.00,100.00,100.00
C,0200555,0.00,140.00,140.00,140.00,100.00,100.00,100.00
C,0200560,0.00,188.00,188.00,188.00,100.00,100.00,100.00
C,0200565,0.00,188.00,188.00,188.00,100.00,100.00,100.00
C,0200567,0.00,188.00,188.00,188.00,100.00,100.00,100.00
C,0200570,362.80,726.00,726.00,726.00,50.03,50.03,50.03
