sucursal,codigo,p1,p2,p3,cp,uc,m1,m2,m3
C,132080,556.8,556.8,480,358.37,358.4,55.36,55.36,33.93
C,132085,535.92,535.92,462,353.18,353.36,51.66,51.66,30.74
C,132090,556.8,556.8,480,280.04,280.08,98.8,98.8,71.38
C,132095,535.92,535.92,462,264.89,264.56,102.57,102.57,74.63
C,132100,556.8,556.8,480,358.37,358.39,55.36,55.36,33.93
C,132120,556.8,556.8,480,325.13,325.16,71.24,71.24,47.62
C,134005,203,203,203,63.78,63.72,218.58,218.58,218.58
C,134010,203,203,203,63.78,63.9,217.68,217.68,217.68
C,134015,203,203,203,151.51,151.6,33.91,33.91,33.91
C,134020,203,203,203,63.78,151.52,33.98,33.98,33.98
C,134025,203,203,203,63.78,63.8,218.18,218.18,218.18
C,134060,345,345,345,93.87,93.87,267.53,267.53,267.53
C,134065,345,345,345,109.99,110.36,212.61,212.61,212.61
C,134070,345,345,345,93.87,93.92,267.33,267.33,267.33
C,134105,243,243,243,77.56,77.68,212.82,212.82,212.82
C,134110,243,243,243,77.56,77.61,213.1,213.1,213.1
C,134115,243,243,243,77.56,77.64,212.98,212.98,212.98
C,134120,243,243,243,77.56,77.58,213.23,213.23,213.23
C,134125,243,243,243,77.56,77.58,213.23,213.23,213.23
C,134150,345,345,345,110,110.02,213.58,213.58,213.58
C,134155,345,345,345,110,110.12,213.29,213.29,213.29
C,134160,345,345,345,109.99,110.04,213.52,213.52,213.52
C,134205,278.5,278.5,278.5,101.78,101.82,173.52,173.52,173.52
C,134210,278.5,278.5,278.5,107.17,107.2,159.79,159.79,159.79
C,134215,278.5,278.5,278.5,57.57,177.81,56.63,56.63,56.63
C,134220,278.5,278.5,278.5,101.78,101.8,173.58,173.58,173.58
C,134225,278.5,278.5,278.5,107.17,107.22,159.75,159.75,159.75
C,134305,477,477,477,93.49,346.67,37.59,37.59,37.59
C,134310,725,725,725,485.62,485.62,49.29,49.29,49.29
C,134505,550,550,474.15,152.63,152.63,260.35,260.35,210.65
C,134510,550,550,474.15,152.61,152.64,260.32,260.32,210.63
C,134515,550,550,474.15,152.56,152.58,260.47,260.47,210.76
C,134520,550,550,474.15,152.61,152.63,260.35,260.35,210.65
C,134525,550,550,474.15,152.56,152.58,260.47,260.47,210.76
C,135005,278.5,278.5,278.5,82.76,82.04,239.47,239.47,239.47
C,135010,278.5,278.5,278.5,82.76,82.74,236.6,236.6,236.6
C,135015,278.5,278.5,278.5,82.75,82.76,236.52,236.52,236.52
C,135020,278.5,278.5,278.5,82.11,81.98,239.72,239.72,239.72
C,135050,243,243,243,77.56,77.6,213.14,213.14,213.14
C,135055,243,243,243,71.44,71.93,237.83,237.83,237.83
C,135060,243,243,243,77.56,77.59,213.18,213.18,213.18
C,135065,243,243,243,71.44,71.54,239.67,239.67,239.67
C,135505,257.52,257.52,222,166.2,166.28,54.87,54.87,33.51
C,135510,382.8,382.8,382.8,249.3,249.33,53.53,53.53,53.53
C,135515,368.88,368.88,318,238.91,275.32,33.98,33.98,15.5
C,135520,497.64,497.64,429,187.43,187.48,165.44,165.44,128.82
C,135525,337.56,337.56,291,135.04,161.03,109.63,109.63,80.71
C,135530,462.84,462.84,399,120.05,120.08,285.44,285.44,232.28
C,136005,438.48,438.48,378,233.73,211.2,107.61,107.61,78.98
C,136010,487.2,487.2,487.2,238.92,238.92,103.92,103.92,103.92
C,136505,306.25,306.25,264,161.01,161.04,90.17,90.17,63.93
C,136510,219.25,219.25,189,137.12,137.16,59.85,59.85,37.8
C,136515,306.25,306.25,264,138.12,138.16,121.66,121.66,91.08
C,136520,219.25,219.25,189,114.26,114.28,91.85,91.85,65.38
C,136525,306.25,306.25,264,212.95,212.96,43.81,43.81,23.97
C,136530,219.25,219.25,189,137.11,137.12,59.9,59.9,37.84
C,140505,934,934,934,152,458.4,103.75,103.75,103.75
C,140510,1945,1945,1945,316,955,103.66,103.66,103.66
C,140515,2000,2000,2000,278.85,648,208.64,208.64,208.64
C,140520,4167,4167,4167,581,1895.73,119.81,119.81,119.81
C,141005,1168,1168,1168,273.65,599.85,94.72,94.72,94.72
C,141010,2431,2431,2431,570.5,1249.64,94.54,94.54,94.54
C,141505,2167,2167,2167,172.47,875.15,147.61,147.61,147.61
C,141510,2918,2918,2918,122.18,780,274.1,274.1,274.1
C,150505,140.84,140.84,140.84,79.25,81.31,73.21,73.21,73.21
C,150510,345.38,345.38,345.38,235,235.08,46.92,46.92,46.92
C,160505,155.31,155.31,155.31,116.48,116.48,33.34,33.34,33.34
C,160510,155.31,155.31,155.31,116.48,116.48,33.34,33.34,33.34
C,160515,155.31,155.31,155.31,116.48,116.48,33.34,33.34,33.34
C,160520,155.31,155.31,155.31,67.45,67.45,130.26,130.26,130.26
C,160525,155.31,155.31,155.31,116.48,116.48,33.34,33.34,33.34
C,160530,155.31,155.31,155.31,116.48,116.48,33.34,33.34,33.34
C,161010,203.75,203.75,203.75,122.12,122.12,66.84,66.84,66.84
C,161015,204,204,204,119.9,119.93,70.1,70.1,70.1
C,161020,204,204,203.75,122.12,122.12,67.05,67.05,66.84
C,161025,204,204,204,107.79,7.86,2495.42,2495.42,2495.42
C,161030,204,204,204,122.12,122.12,67.05,67.05,67.05
C,161510,149,149,149,85.22,85.22,74.84,74.84,74.84
C,161515,149,149,149,85.96,85.96,73.34,73.34,73.34
C,161520,149,149,149,85.96,85.98,73.3,73.3,73.3
C,161525,149,149,149,73.84,73.56,102.56,102.56,102.56
C,161530,149,149,149,85.96,85.96,73.34,73.34,73.34
C,162510,208.67,208.67,208.67,116.77,116.77,78.7,78.7,78.7
C,162515,208.67,208.67,208.67,70.44,70.44,196.24,196.24,196.24
C,162520,208.67,208.67,208.67,116.77,116.81,78.64,78.64,78.64
C,162525,208.67,208.67,208.67,115.28,115.29,81,81,81
C,162530,208.67,208.67,208.67,115.28,115.28,81.01,81.01,81.01
C,162535,208.67,208.67,208.67,80.22,95.09,119.44,119.44,119.44
C,163005,123.94,123.94,123.94,61.44,61.44,101.73,101.73,101.73
C,163015,48.8,48.8,48.8,36.36,36.36,34.21,34.21,34.21
C,163020,68.8,68.8,68.8,51.6,51.6,33.33,33.33,33.33
C,163025,255.28,255.28,255.28,126.66,126.66,101.55,101.55,101.55
C,163505,265.05,265.05,265.05,123.86,123.87,113.97,113.97,113.97
C,163510,156.27,156.27,156.27,68.7,102,53.21,53.21,53.21
C,170510,396.87,396.87,396.87,382.62,382.62,3.72,3.72,3.72
C,170515,374.87,374.87,374.87,361.41,361.41,3.72,3.72,3.72
C,170516,1243,1243,1243,475.13,475.24,161.55,161.55,161.55
C,170517,857,857,857,769.5,769.5,11.37,11.37,11.37
C,170518,2750,2750,2750,2474.42,2474.42,11.14,11.14,11.14
C,170519,1013,1013,1013,910.76,910.76,11.23,11.23,11.23
C,170520,354,354,354,131.83,109.59,223.02,223.02,223.02
C,170525,1164,1164,1164,537.34,537.34,116.62,116.62,116.62
C,170550,612,612,612,436.4,436.41,40.24,40.24,40.24
C,170555,612,612,612,540,540,13.33,13.33,13.33
C,170555,612,612,612,540,540,13.33,13.33,13.33
C,180500,367.5,367.5,367.5,197,197.09,86.46,86.46,86.46
C,180505,688.36,688.36,688.36,301,301,128.69,128.69,128.69
C,190505,1308,1308,1308,941.76,941.76,38.89,38.89,38.89
C,190510,1308,1308,1308,784.8,784.8,66.67,66.67,66.67
C,190515,1230,1230,1230,736.18,736.24,67.07,67.07,67.07
C,190520,1440,1440,1440,1036.8,1036.8,38.89,38.89,38.89
C,190525,1440,1440,1440,1032.4,1032.44,39.48,39.48,39.48
C,210505,253,253,253,182.16,182.16,38.89,38.89,38.89
C,210510,183,183,183,131.56,131.56,39.1,39.1,39.1
C,210515,360,360,360,190.4,190.4,89.08,89.08,89.08
C,210550,403,403,403,223,289.9,39.01,39.01,39.01
C,210555,403,403,403,289.9,289.9,39.01,39.01,39.01
C,210556,434,434,434,312,312,39.1,39.1,39.1
C,210557,434,434,434,240,240,80.83,80.83,80.83
C,210558,434,434,434,312,312,39.1,39.1,39.1
C,210559,434,434,434,312,312,39.1,39.1,39.1
C,210560,771,771,771,427,427,80.56,80.56,80.56
C,210561,434,434,434,240.01,240.01,80.83,80.83,80.83
C,210562,434,434,434,312,312,39.1,39.1,39.1
C,210570,680,680,680,408.1,408.1,66.63,66.63,66.63
C,210572,833,833,833,544.5,544.5,52.98,52.98,52.98
C,210580,860,860,860,619,619,38.93,38.93,38.93
C,210585,1157,1157,1157,630,630,83.65,83.65,83.65
C,210595,271,271,271,125,125,116.8,116.8,116.8
C,210595,271,271,271,195,195,38.97,38.97,38.97
C,220505,555,555,555,390,390,42.31,42.31,42.31
C,760505,120.6,120.6,120.6,116.09,117.44,2.69,2.69,2.69
C,760510,144.72,144.72,144.72,103.2,103.2,40.23,40.23,40.23
C,900508,560,560,560,480,480,16.67,16.67,16.67
C,900508,560,560,560,480,480,16.67,16.67,16.67
C,900555,209.04,209.04,209.04,193.68,193.68,7.93,7.93,7.93
C,2020101,125.44,125.44,125.44,92.05,92.05,36.27,36.27,36.27
C,2020101,125.44,125.44,125.44,9.36,9.36,1240.17,1240.17,1240.17
C,2020201,144.5,144.5,144.5,139.6,139.6,3.51,3.51,3.51
C,2020202,144.5,144.5,144.5,73,73,97.95,97.95,97.95
C,2020205,270,270,270,220,220,22.73,22.73,22.73
C,2030106,384,384,384,306.52,306.52,25.28,25.28,25.28
C,2030113,398,398,398,273.54,318.16,25.09,25.09,25.09
C,2030125,324,324,324,258.99,259,25.1,25.1,25.1
C,2030131,438,438,438,306.52,350.17,25.08,25.08,25.08
C,2030155,249,249,249,169.75,169.75,46.69,46.69,46.69
C,2030160,251,251,251,166.84,166.84,50.44,50.44,50.44
C,2030200,310,310,310,247.35,247.48,25.26,25.26,25.26
C,2030202,836,836,836,688.7,688.7,21.39,21.39,21.39
C,2030205,350,350,350,279.36,279.36,25.29,25.29,25.29
C,2030210,560,560,560,384.12,384.12,45.79,45.79,45.79
C,2030215,498,498,498,397.7,397.7,25.22,25.22,25.22
C,2030218,297,297,297,210.49,211.46,40.45,40.45,40.45
C,2030219,297,297,297,157.14,211.46,40.45,40.45,40.45
